date,RSSI
2020-07-08 23:02:05.400842,73
2020-07-08 23:02:06.520893,72
2020-07-08 23:02:07.639834,74
2020-07-08 23:02:08.759838,74
2020-07-08 23:02:09.879894,74
2020-07-08 23:02:10.998885,74
2020-07-08 23:02:12.118839,73
2020-07-08 23:02:13.238849,73
2020-07-08 23:02:14.372834,73
2020-07-08 23:02:15.477890,73
2020-07-08 23:02:16.595896,74
2020-07-08 23:02:17.715838,73
2020-07-08 23:02:18.835892,73
2020-07-08 23:02:19.954831,73
2020-07-08 23:02:21.074900,74
2020-07-08 23:02:22.194891,73
2020-07-08 23:02:23.313888,74
2020-07-08 23:02:24.433888,74
2020-07-08 23:02:25.552730,74
2020-07-08 23:02:26.672660,73
2020-07-08 23:02:27.792662,74
2020-07-08 23:02:28.911753,73
2020-07-08 23:02:30.031663,74
2020-07-08 23:02:31.152179,74
2020-07-08 23:02:32.271223,73
2020-07-08 23:02:33.390248,74
2020-07-08 23:02:34.511175,74
2020-07-08 23:02:35.630172,74
2020-07-08 23:02:36.749173,74
2020-07-08 23:02:37.870187,74
2020-07-08 23:02:38.989237,74
2020-07-08 23:02:40.108241,74
2020-07-08 23:02:41.229245,73
2020-07-08 23:02:42.347238,73
2020-07-08 23:02:43.467237,74
2020-07-08 23:02:44.587275,74
2020-07-08 23:02:45.707242,73
2020-07-08 23:02:46.826297,73
2020-07-08 23:02:47.947247,73
2020-07-08 23:02:49.066278,73
2020-07-08 23:02:50.169240,73
2020-07-08 23:02:51.304726,74
2020-07-08 23:02:52.423728,73
2020-07-08 23:02:53.543726,73
2020-07-08 23:02:54.664774,73
2020-07-08 23:02:55.782726,73
2020-07-08 23:02:56.902765,73
2020-07-08 23:02:58.023734,73
2020-07-08 23:02:59.141763,73
2020-07-08 23:03:00.261768,73
2020-07-08 23:03:01.384725,73
2020-07-08 23:03:02.499814,73
2020-07-08 23:03:03.619724,73
2020-07-08 23:03:04.739765,73
2020-07-08 23:03:05.858725,73
2020-07-08 23:03:06.978730,73
2020-07-08 23:03:08.113722,73
2020-07-08 23:03:09.234774,73
2020-07-08 23:03:10.353769,74
2020-07-08 23:03:11.472811,73
2020-07-08 23:03:12.609788,73
2020-07-08 23:03:13.728728,73
2020-07-08 23:03:14.847725,73
2020-07-08 23:03:15.951764,73
2020-07-08 23:03:17.071778,73
2020-07-08 23:03:18.191734,73
2020-07-08 23:03:19.310732,73
2020-07-08 23:03:20.429722,73
2020-07-08 23:03:21.549759,73
2020-07-08 23:03:22.668808,73
2020-07-08 23:03:23.805731,73
2020-07-08 23:03:24.908768,73
2020-07-08 23:03:26.028776,73
2020-07-08 23:03:27.147727,73
2020-07-08 23:03:28.267733,73
2020-07-08 23:03:29.386729,73
2020-07-08 23:03:30.506724,73
2020-07-08 23:03:31.625728,73
2020-07-08 23:03:32.746737,73
2020-07-08 23:03:33.848723,73
2020-07-08 23:03:34.968725,73
2020-07-08 23:03:36.088763,73
2020-07-08 23:03:37.208728,73
2020-07-08 23:03:38.327727,73
2020-07-08 23:03:39.447767,73
2020-07-08 23:03:40.567733,73
2020-07-08 23:03:41.702727,73
2020-07-08 23:03:42.806727,73
2020-07-08 23:03:43.925727,73
2020-07-08 23:03:45.046301,73
2020-07-08 23:03:46.165284,73
2020-07-08 23:03:47.285246,74
2020-07-08 23:03:48.404244,73
2020-07-08 23:03:49.525303,74
2020-07-08 23:03:50.644253,73
2020-07-08 23:03:51.747276,74
2020-07-08 23:03:52.866731,74
2020-07-08 23:03:53.986767,73
2020-07-08 23:03:55.106733,74
2020-07-08 23:03:56.241769,74
2020-07-08 23:03:57.361731,74
2020-07-08 23:03:58.481776,74
2020-07-08 23:03:59.600766,74
2020-07-08 23:04:00.736732,74
2020-07-08 23:04:01.855910,74
2020-07-08 23:04:02.959912,74
2020-07-08 23:04:04.079874,74
2020-07-08 23:04:05.199872,73
2020-07-08 23:04:06.317867,74
2020-07-08 23:04:07.437906,74
2020-07-08 23:04:08.556929,74
2020-07-08 23:04:09.676876,74
2020-07-08 23:04:10.796902,74
2020-07-08 23:04:11.917872,74
2020-07-08 23:04:13.035873,74
2020-07-08 23:04:14.154960,74
2020-07-08 23:04:15.274868,73
2020-07-08 23:04:16.395872,73
2020-07-08 23:04:17.514874,73
2020-07-08 23:04:18.633872,73
2020-07-08 23:04:19.753912,73
2020-07-08 23:04:20.873928,74
2020-07-08 23:04:21.992907,75
2020-07-08 23:04:23.112871,76
2020-07-08 23:04:24.232929,74
2020-07-08 23:04:25.351873,74
2020-07-08 23:04:26.471874,72
2020-07-08 23:04:27.590870,72
2020-07-08 23:04:28.710870,72
2020-07-08 23:04:29.813874,73
2020-07-08 23:04:30.932933,73
2020-07-08 23:04:32.053872,74
2020-07-08 23:04:33.172915,73
2020-07-08 23:04:34.292876,73
2020-07-08 23:04:35.411897,73
2020-07-08 23:04:36.530952,73
2020-07-08 23:04:37.651873,73
2020-07-08 23:04:38.771932,73
